Weeks of the Year,YTD 2019 Murder,YTD 2019 Rape,YTD 2019 Robbery,YTD 2019 Agg. Assault,YTD 2018 Murder,YTD 2018 Rape,YTD 2018 Robbery,YTD 2018 Agg. Assault
1,3,2,20,19,0,1,10,22
2,5,9,42,56,0,9,32,48
3,8,13,66,82,4,14,47,73
4,8,22,79,97,5,18,72,112
5,10,25,101,126,7,24,98,136
6,12,32,119,165,7,25,131,167
7,12,34,134,193,13,28,159,191
8,15,39,144,218,15,31,174,234
9,17,42,165,251,16,34,195,264
10,18,46,178,292,17,36,212,304
11,20,50,189,325,17,44,223,344
12,22,56,207,366,18,47,236,384
13,25,60,232,391,20,52,250,423
14,28,64,252,436,22,56,262,463
15,31,76,266,482,23,58,279,506
16,31,81,284,512,25,66,289,538
17,33,84,307,559,25,71,309,579
18,35,88,334,607,28,74,336,609
19,36,94,350,645,29,79,356,653
20,38,99,378,698,30,83,380,697
21,39,102,403,756,33,87,412,734
22,41,104,429,811,36,90,440,775
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
